Year,Season,Show,Author,Genre,Cast_Size,Times_Performed
2000,Spring,A Midsummer Night's Dream,William Shakespeare,Comedy,,2
2001,Fall,Rosencrantz and Guildenstern are Dead,Tom Stoppard,Other,,3
2002,Fall,Hamlet's Shorts,Self-Written,Comedy,,1
2003,Spring,The Comedy of Errors,William Shakespeare,Comedy,,2
2003,Fall,Love's Fire,Multiple,Other,,1
2003,Fall,The Complete Works of William Shakespeare (abridged),Multiple,Comedy,,1
2004,Spring,Much Ado About Nothing,William Shakespeare,Comedy,,6
2004,Fall,The Importance of Being Earnest,Oscar Wilde,Other,,2
2004,Fall,Love's Labour's Lost,William Shakespeare,Comedy,,1
2005,Spring,Othello,William Shakespeare,Tragedy,,2
2005,Fall,Measure for Measure,William Shakespeare,Tragedy-Comedy,,2
2005,Fall,As You Like It,William Shakespeare,Comedy,,3
2006,Spring,A Midsummer Night's Dream,William Shakespeare,Comedy,,2
2006,Fall,Richard III,William Shakespeare,History,,1
2006,Fall,The Taming of the Shrew,William Shakespeare,Tragedy-Comedy,,2
2007,Spring,The Winter's Tale,William Shakespeare,Tragedy-Comedy,,2
2007,Spring,A Servent of Two Masters,Carlo Goldoni,Comedy,,1
2007,Fall,The Merchant of Venice,William Shakespeare,Tragedy-Comedy,,1
2007,Fall,Romeo and Juliet,William Shakespeare,Tragedy,,4
2008,Spring,The Cenci ,Percy Shelley,Tragedy,,1
2008,Spring,Twelfth Night,William Shakespeare,Comedy,,5
2008,Fall,Macbeth,William Shakespeare,Tragedy,,4
2008,Fall,School for Scandal,Richard B. Sheridan,Comedy,,1
2009,Spring,Two Noble Kinsman,William Shakespeare,Comedy,,1
2009,Spring,Rosencrantz and Guildenstern are Dead,Tom Stoppard,Other,,3
2009,Fall,Hamlet ,William Shakespeare,Tragedy,,4
2010,Spring,Much Ado About Nothing,William Shakespeare,Comedy,,6
2010,Fall,Significantly Sexier Shakespeare,Self-written,Comedy,,1
2010,Fall,Tis Pity She’s a Whore,John Ford,Tragedy,,1
2011,Spring,Love’s Labours Lost,William Shakespeare,Comedy,,1
2011,Spring,The History Boys,Alan Bennett,Other,,1
2011,Fall,The Tempest,William Shakespeare,Tragedy-Comedy,,1
2011,Fall,Cyrano de Bergerac,Edmond Rostand,Other,,1
2012,Spring,Othello ,William Shakespeare,Tragedy,,2
2012,Spring,Pygmalion,George Bernard Shaw,Other,,1
2012,Fall,Comedy of Errors,William Shakespeare,Comedy,,2
2013,Spring,Twelfth Night,William Shakespeare,Comedy,,5
2013,Spring,The Women,Clare Boothe Luce,Comedy,,1
2013,Fall,Julius Caesar,William Shakespeare,Tragedy,,3
2013,Fall,Henry IV Parts I and 2,William Shakespeare,History,,1
2014,Spring,Taming of the Shrew,William Shakespeare,Tragedy-Comedy,,2
2014,Spring,Romeo and Juliet,William Shakespeare,Tragedy,,4
2014,Fall,Macbeth,William Shakespeare,Tragedy,,4
